en,as,bn,doi,gu,hi,kn,kok,ml,mn,mr,ne,or,pa,ta,te,ur
bangbros,গিদা,ক্যালানে চোদা,माऊ दा यार,બેટીચોદ,छिनाल,ಹಡ್ಸಿಕೆ,रांडे पुथ,ഊക്കി,ꯒꯗꯥ,वेश्या,बुडीको पेटिकोटमा लुक,ରାଣ୍ଡି,ਕੰਜਰ,கருவாய்,,لنگور
bangbus,গিদা খোৱা,কুত্তার বাচ্চা,कुत्ती,બોબલા,चुप कर,ಹಡ್ಸು,तुगिले गांडी,ഊംബി,ꯒꯗꯥꯖꯥꯎ,छिनाल,चम्चे,ତତେ ଗେହିଁବି,ਵੇਸ਼ਵਾ,கெழட்டுகூதி,,ٹٹے
bareback,গো,কুত্তা চোদ,कबत्ती,પીકીના,चूतिए,ಕುಂಡಿ,झोव रंग्याक,ഊമ്പൻ,ꯒꯙꯥ ꯂꯥꯕ,भडवा,चनामती,ତୋ ମା କୁ ଗିହେଁ,ਹਰਾਮਜਾਦੀ,கேனக்கூதி,,کھسرا
barely legal,মক্কেল,ল্যাওড়া,कबत्ता,બકચોદી,चुटिया,ಹೇಲು,रांडेचो,പച്ച തായോളി,ꯒꯙꯥ ꯂꯥꯕꯥ,भडव्या,छाडा,ତତେ ଗେହିଁବି,ਕੁੱਤਾ,கேன,,بھڑوا
barenaked,জহনী,লের,ठरकी,ચૂતીયાપા,चुटन,ಹೆಂಡ್ರು,शेंत,മഞ്ഞ തായോളി,ꯒꯙꯥ,गांडू,छक्का,ବାଣ୍ଡ ମୁଣ୍ଡି,ਕਮੀਨਾ,முண்டம்,,دلال
bastard,জহৰা,লের খাওয়া,मुश्की,ગાંડ મા કીડો,गस्ती,ಯೆನ್ಡ್ರು,झ्हेंगे,പമ്പര കൂത്തിച്ചി,ꯒꯙꯥꯖꯥꯎ,लवडू,छुल्याहा,ଭଉଣୀ ଘିଆ,ਕੁੱਟੀ,சாபக்கேடு,,ہوس
bastardo,,মাগীর বেটা,लौडे,ભડવા,गश्ती,ಗಾಂಡು,,പന്നിയോളി,ꯒ꯭ꯌꯥꯟꯊꯨ,झाटू,चिक्छु,ଗାଣ୍ଡି ମରା ସଂକରା,ਕਾਮਿਨੀ,கிழட்டு,,احمق
bastinado,,হারামী,रंडा,પીકી રાંડ ના,घासाद,ಗುಬಾಲ್,आवोईची फुद,പറി,ꯍꯥꯎꯅꯥꯎ,चुतिया,चिक्ने,ମୁଠି ମରା ମାଘିଆ,ਗਸ਼ਤੀ,கொட்ட,,چَھکا
bbw,কটি,মাদারচোদ,गांडू,ભડવીચોદ,हरामी,ಮಿಟಕಲಾಡಿ,मायची फुद,പട്ടി പൂറിമോൻ,ꯍꯥꯎꯊꯤ,चुतिये,चिक्नु/ चिक्यो,,ਭੱਜ,புடுங்கி,,تَلْوے چاٹْنا
bdsm,কটিত বাৰী সুমুৱাই দিম,ন্যাংটা,भैन चौद,ભોંસડીવાલે,हराम ज़ादा,ಐನಾತಿ,बाक्री,പട്ടി തീട്ടം,ꯍꯥꯎꯊꯨ,चुत्त्या,चिकुवा,,ਬੀਬੀ ਦੀ ਫੁਦੀ,குண்டி,,حیض
beaner,কুকুৰৰ পোৱালি,নুনু,फट्टी’ई,ગેલચોદીના,हिजड़ा,ಕೊರಮ,,തീട്ടം,ꯍꯩꯊꯨ,मादरचोद,चोक्टा,,ਮਾਂ ਦੀ ਫੁਦੀ,மாமா பயலே,,فرج
beaners,,বারোভাতারি,खोेते दी लुआद,ભોંસમારીનો,हिजरा,ಲುಚ್ಚ,,പുരുഷ വെടി,ꯍꯩꯊꯨꯖꯥꯎ,आईझवाड्या,चोट्टा,,ਬਹਿਨ ਦੀ ਫੁਦੀ,உங்கொப்பன்,,بھائچود
beaver cleaver,লাওৰা,পোঁদমারানী,साली देआ,ગેળઘાઘરીના,जानवर,ಲಫಂಗ,भयणिक झोवण्या,ശുക്ലം ദീനി,ꯍꯩꯊꯨꯖꯦꯟ,आयझवाड्या,चुडेल्नी,,ਗਸ਼ਤੀ ਦਾ ਪੁਤਰ,பொட்டக்கூதி,,چودیں
beaver lips,মাৰৰ বুছ,শুয়রের বাচ্চা,साले देआ,ચુતડ,कुत्ता,ಮುಂಡೆಗಂಡ,बेवार्षी,തള്ളയോളി,ꯍꯩꯊꯨꯔꯩ,आईघाल्या,चुमचुम हुनु/भयो,,ਕੰਜਰੀ,போட்ட பாடு,,پھدی
beastiality,মাক চুদাই,সুদূরই,मांइयावा,ભોંસમારીના,कुत्तिया,ಬಡ್ಡಿಮಗ,,തീട്ടമോറാൻ,ꯍꯩꯊꯨꯔꯤ,आयघाल्या,चुतिया,,ਖੋਟਾ,பிண்ட கலப்பை,,ماچود
bestiality,মাকচুদাই,মা সুদা,रंडी,ગેલફાડીના,खोता,ಮುಂಡೆಮಗ,भोकान बॉट,തേവടിച്ചി,ꯍꯤꯡꯆꯥꯕꯥ,भेन्चोद,दलाल,,ਖੋਟੀ,சப்பு,,خسڑا
big black,ভূমিখন,ফুটকি,रंडी दा यार,રંડીબાજ,खोते की औलाद,ಬಜಾರಿ,चेडी,വെപ്പാട്ടി,ꯍꯤꯡꯆꯥꯕꯤ,भिकारचोट,डङ्किनी,,ਬੀਬੀ ਦੀ ਫੁੱਦੀ,புண்டாமவன்,,حرامزاد
big breasts,ভূমি,ঢ্যামনা,खुसरा,,कुत्ते की जाट,ಬೋಳಿಮಗ,चेडीच्या झोवण्या,കരിമ്പി,ꯍꯣꯢꯔꯣꯡ,चुतमारिच्या,डन्ठामा पानी चढेको,,ਬੇਬੇ ਦੀ ਫੁੱਦੀ,கும்மாள,,بغیرت
big knockers,মাকছাই,মা হত্তা,लल्लू,,नाजायज़,ಹಲ್ಕಾ,,തൂറി,ꯍꯣꯢꯔꯣꯡ ꯂꯥꯕ,झवाड्या,ढाक्रे,,ਮੋਸੀ ਦੀ ਫੁੱਦੀ,சூதெறிச்சல்,,کھچڑا
big tits,মুমু,চুদী,घूस्सा,,नाजायज़ पैदाइश,ಕಚಡಾ,,പൂറി മോൾ,ꯍꯣꯢꯔꯣꯡ ꯂꯥꯕꯥ,रांडेच्या,धोक्र्याउनु,,ਤੇਰਾ ਫੁਫਦ,ஒம்மால,,بہن کی چوت
bimbos,নাগৰী পুতেক,বুনি,चक्का,,साला कुत्ता,ತುಕಾಲಿ,,പൊലയാടി മോനേ,ꯍꯣꯢꯔꯣꯡ ꯃꯆꯥ,फोकनीच्या,धोती,,ਤੇਰਾ ਪਯੋ,பாடு,,ماں کی چوت
birdlock,নলীয়া,ফুন,चक्की,,साली कुट्टी,ಹಡಬೆ,फोदो,നീ പോടാ മൈരാ,ꯍꯣꯢꯔꯣꯡꯖꯥꯎ,फोदरीच्या,धुपौरे,,ਫੈਡ ਲੇ,சவமே,,بیٹی چود
bitch,পেল চোহা,খানকির ছেলে,गब्भन,,सूवर,ಹಾದರಗಿತ್ತಿ,,നീ പോയി ഊമ്പ് മൈര,ꯍꯣꯃꯣ,तुझ्या आईची गांड,दुध माड्नु/ माड्/ माड्यो,,ਫੈਡ ਲੇ ਲੰਡ,பொருக்கி,,کمبخت
bitches,পকৰ চেলেকা,হারামজাদি,कुत्ते दा टट्टा,,टट्टी,ಸೂಳೆಮಗ,गाण,കറ വെടി,ꯍꯨꯢ,तुझी आई झवली,फटाहा,,ਕੁੱਟੀ,பன்னாட,,چوت ماری کا
black cock,ৰেন্দী,চোদা চোদি,टू’आ,,बहन चोद,ಲೌಡಿ,गाणीन बॉट घाल,കരിങ്കുണ്ണാ,ꯍꯨꯢꯊꯨ,आई घातली,फुसी खा,,ਕੁੱਤਾ,புண்ணாக்கு,,بوبے
blonde action,দালাল,বাল,खूसरी,,बहन के लौड़े,ಹಲಾಲ್ಖೋರ,,കരിമ്പൂറാ,ꯍꯨꯢꯊꯨ ꯂꯥꯕ,तोंडात घे,फ्याली,,ਬੁੰਡ ਮਾਰਾ,மண்ணாங்கட்டி,,جھانٹو
blonde on blonde action,চুদা,বিঁচি,उल्लू दी पट्ठी,,बहन के टके,ಗಮಾರ,,കട്ട തായോളി,ꯍꯨꯢꯊꯨ ꯂꯥꯕꯥ,चोख माझा लवडा,फ्याली केटी,,ਬੁੰਡ ਤੇ ਲੈਨ,ஊதாரி,,بدبخت
blowjob,চুদী,কুত্তা চোদা,नखसमी,,बेटी चोद,ಡಗಾರ್,,കുണ്ടറോളി പൂറി മോനെ,ꯍꯨꯢꯊꯨꯖꯥꯎ,गांड मारणे,गन्धे,,ਬੰਡ ਵਿਚ,நாதாரி,,مردود
blow job,চুদুৰ্ভাই,বাল ছেঁড়,खोते दा पुत्तर,,भाई चोद,ದೆಂಗು,,കുണ്ടി മോൻ,ꯍꯨꯔꯥꯟꯕꯥ,ढुंगण,गाँडु,,ਮਾਯੋ ਵੀਆ,கஸ்மாலம்,,نا لائق
blow your load,চুদুৰ,বাল ছিঁড়ে তাল পাকা,तेरी भैन दी,,भैंस की औलाद,ಕಕ್ಕ,,കുണ്ടി മോൾ,ꯍꯨꯔꯥꯟꯕꯤ,डुक्कर,घन्टा,,ਮਾਯੋਵੀਆ,மானங்கெட்டவன்,,جھانٹ کا بال
blue waffle,ছেটৰ মৈলা,বাল ছাল,कब्हैस्ती कुसै पासे दी,,झल्ला,ಲೌಡೆ,रांडे पूत,താമര കുണ്ണാ,ꯏꯔꯣꯢ ꯂꯥꯕ,छमिया,घिच्नु,,ਕੁੱਕੜ,அறிவுகெட்டவன்,,چوتیا
blumpkin,তোমাক চুদিব মন গৈছে,গাঁড় মারা,कबेहैस्ता,,फागगोट,ನಾಮರ್ದ,तुगेले गाणीन,താമര പൂറ്,ꯏꯔꯣꯢ ꯂꯥꯕꯥ,च्यायला,घिचुवा,,ਰਣੇ,கழிசடை,,جھانٹ
bollocks,তোৰ মাক চুদু,বাল চোদা,गांड,,झांट के बाल,ಹಂದಿ,,പൊലയാടി,ꯏꯔꯣꯢ ꯃꯥꯟꯕꯥ,मायला,गोक्ते,,ਮੁਥ,பீட,,بڑ
bondage,তোৰ মাৰক ৰাস্তাত কুকুৰ লগাই,গান্ডু চোদা,तेरी भैन दी गांड,,झांट के पिस्सू,ಕಂತ್ರಿನಾಯಿ,,പുണ്ടാച്ചിമോൻ,ꯏꯔꯣꯢ,कुत्र्या,गोरू साला,,ਲੂਲ,ஒம்போது,,بھڑوا
boner,মাংমাৰণি,ঝাঁটের বাল,तेरी मां दी गांड,,कुत्ते का औलाद,ಹುಚ್ಚುನಾಯಿ,शॅट,,ꯀꯥꯂꯤꯃꯨꯊꯤ,साल्या,गुहु खाने,,ਲੰਡ,ஒக்காளி,,بھوسڑا
boob,ফালিদিম,ঝাঁট জলা,तेरी भैन दी बुंड,,कुत्ते के टट्टे,ನಾಯಿ,झेंगे,കുണ്ണ,ꯀꯥꯁꯨ ꯅꯠꯇꯦ,सुक्क्या,गुला,,ਮਾਂ ਦਾ ਲੰਡ,பேமானி,,بھوسڑی کا
boobs,যৌনতা,ঝাঁট,तेरी मां दी बुंड,,माधर चोद,ರಾಸ್ಕಲ್,,പൂറ്,ꯀꯁꯨꯕꯥ,ठोल्या,गुला खा,,ਤੇਰੀ ਮਾਂ ਦੀ,முண்டை,,بیہودہ
booty call,চেক্সি,নুঙ্কু,,,पद्मा,ಲೋಫರ್,,,ꯀꯁꯨꯕꯤ,चुतीया,गुण्डा,,ਮਾਂ ਦੀ ਲਾਉਡੀ,பொசகேட்டவன்,,بد تمیز
brown showers,মুণ্ডিত চুট,বোকচোদ,,,रांड का जमाई,ಬೇವರ್ಸಿ,,,ꯀꯁꯨꯕꯤ ꯃꯆꯥ,हरामखोर,गुरुङ भेँडा,,ਬੇਬੇ ਦੀ ਲਾਉਡੀ,உஸ்ஸு,,بےکار
brunette action,,ঢ্যামনা চোদা,,,रंधवा,ಬಿಕನಾಸಿ,,,ꯈꯣꯝꯖꯥꯎꯕꯤ,मंद,हरामी,,ਮਾਂ ਦਾ ਲਾਉਡਾ,அலி,,چھکّا
bukkake,বিডিএছএম,গাঁড়মারানি,,,रंडवा,ದರ್ಬೇಸಿ,,,ꯀꯣꯛꯆꯥꯛ,फोपश्या,हरिलट्ठक,,ਬੇਬੇ ਦਾ ਲਾਉਦਾ,கூருகேட்டவன்,,بےوقوف
bulldyke,স্তন,আবলদা,,,रंडी,ತಿರುಬೋಕಿ,,,ꯀꯣꯛꯇꯥꯡ,जाड्या,हिजडा,,ਤੇਰਾ ਪਯੋ,நக்கி,,بےغیرت
bullet vibe,ব্ৰা,আবাল,,,रुंडी का बचा,ಅಡ್ಕಸ್ಬಿ,,,ꯂꯝꯆꯠ ꯅꯥꯢꯗꯕꯤ,झंडू,हुतिहारा,,ਫੁੱਦੂ,நக்கு,,لوڑے کا بال
bullshit,হুকাৰ,শালা,,,रुंडी की बची,ಅಂಡು,,,ꯂꯝꯖꯥ ꯁꯔꯥ,घंट्या,जाली,,ਸਾਲਿਆ,தெவுடியா மவன்,,مادر جات
bung hole,গৰম পোৱালী,,,,सुवेर के बच्चे,ಬಿತ್ರಿ,,,ꯂꯝꯁꯥ,पांगळ्या,जामा लाउने,,ਸਾਲਿਆ ਫੁੱਦੂ,முட்டாக்கூதி,,رنڈی کا جنا
bunghole,মাদাৰ ফাকাৰ,বাবাচোদা রেন্ডি,,,उल्लू के पाते,ಚಪ್ಪರ್,,,ꯂꯋꯥꯏ ꯀꯣꯛ,तुझ्या आईचं बेन,जाँठा/ जाँठो/जाँठी,,ਹਰਾਮੀ,தூமத்தெவுடியா,,ہاتھی کی گانڈ
busty,নিমফোমেনিয়া,,,,बचकर छोड़ू,ಚೂಲ್,,,ꯂꯋꯥꯢ ꯃꯆꯥ,तुझ्या आइचं बेन,झ्याँक्ने,,ਚੁਟੀਏ,எரும மாடு,,گانڈ کا پیدا
butt,,বাঁড়া,,,भांड खो,ಅಂಡೆಪಿರ್ಕಿ,,,ꯂꯧꯔꯥ,हागऱ्या,जिलिगान्टे,,ਚੂਟ,தெரு நாயி,,ہرامی کا پیدا
buttcheeks,নঙঠা,,,,भँड़वे की औलाद,ಪೊರ್ಕಿ,,,ꯂꯨꯈꯥꯛ,मुतऱ्या,जोइटिङ्ग्रे,,ਗੰਡੂ,சொறி நாயி,,دیوانی چوت
butthole,পেডোফিল,,,,भोसड चोद,ರಂಡಿಕೆ,,,ꯃꯥꯢꯕꯪ,लांड्या,जोतुवा,,ਨੰਗ,நாக்கு போடு,,بھوتنی کا چودا
camel toe,পেডোফিল,,,,बंचोद,ಸಾಮಾನು,,,ꯃꯥꯢꯕꯪꯖꯥꯎ,बोच्या,काली कल्चुँडी,,ਚੁਚੀ,கை அடி,,رنڈی
camgirl,ফোন যৌনতা,,,,बुर की चाटनी,ಬೀಜ,,,ꯃꯥꯢꯄꯪ,हरामी,कालो आन्द्रे,,ਬੂਬਾ,,,رنڈیا
camslut,পৰ্ণগ্ৰাফী,,,,कंतमामा,ತಿಕ ಕೊಬ್ಬು,,,ꯃꯔꯥꯢ,लुळ्या,कामचोर,,ਬੋਬਾ,கருமாந்திரம்,,رانڈ
camwhore,"বাষ্টাৰ্ড,",,,,छिपकली के छूट के पसीने,ತಿಕ ಮುಚ್ಚು,,,ꯃꯌꯥ ꯀꯥꯛꯄꯤ,भोसडीच्या,कामी डाङ्ग्रा,,ਚੱਕੀ,பொட்ட,,چوت کا پیاسا
carpet muncher,কুকুৰ,চুত,,,छिपकली के गांड के पसीने,ತರಡು,,,ꯃꯌꯥꯡ ꯀꯋꯥꯛ,आय माय झवली,कबाडी,,ਨੰਨੂ,பொட்ட பாடு,,بڑ چٹّا
carpetmuncher,পেণ্টি চেলেকা,,,,छिपकली के झांट के बाल,ತಿಕ ಗಾಂಚಾಲಿ,,,ꯃꯌꯥꯡ ꯂꯨꯈꯥꯛ,मुठ्मारीच्या,कन्डो हान्ने,,ਡੱਲਾ,,,رانڈ کی اولاد
chocolate rosebuds,,,,,चिप्पकाली के झांट के पसीने,ಬಡ್ಡಿಹೈದ,,,ꯃꯌꯥꯡ ꯃꯊꯤ,येड्या बोड्याचा,कन्डो,,ਧਾਲਾ,,,ہجڑا
cialis,,,,,छोडेला,ತಲೆಹಿಡ್ಕ,,,ꯃꯌꯥꯡ ꯊꯨꯌꯥꯡ,बायल्या,कन्डोको दुलो,,ਮੈ ਦਾ ਯਾਰ,,,چوت ماری کا
circlejerk,,,,,छोड़ू भगत,ತಲೆಹಿಡಿ,,,ꯃꯌꯥꯡꯇꯩ,हिजड्या,कन्डोको दुलो,,ਭੈਨ ਦਾ ਯਾਰ,,,چودو
cleveland steamer,,,,,छोला फुदकना,ತಿಕ ಉರಿ,,,ꯃꯦꯈꯔꯥ,फोदऱ्या,खाते,,ਭੋਸਾ,,,چودی کا
clit,,গুদমারানি,,,चुदन चुदाई,ಮುಂಡೆಮಗ,,,ꯃꯤꯅꯥꯢ,रताळ्या,खिच्चा,,ਲੋਡੂ,,,چھنار
clitoris,,ল্যাওড়াচোদা,,,चुदाई खाना,ಹೆಣ್ಣಿಗ,,,ꯃꯤꯅꯥꯢ ꯂꯥꯕ,चकण्या,खुलित्त खुल्काइस्,,,,,گانڑ کا اندھا
clover clamps,,,,,चुन्नी,ಖದೀಮ,,,ꯃꯤꯅꯥꯢ ꯂꯥꯕꯥ,भिकाऱ्या,कोदे,,,,,بھڑوا
clusterfuck,,,,,चूत का बाल,ಭಡವಾ,,,ꯃꯤꯅꯥꯢ ꯃꯆꯥ,थोबाडवाश्या,कुकुर साला,,,,,متاری کی چوت
cock,,খানকি,,,चूत के भूत,ತಾಯ್ಗಂಡ,,,ꯃꯤꯅꯥꯢꯏꯄꯨꯔ,थोबाड्या,कुकुरर्नी,,,,,باولی گانڑ
cocks,,মাগী,,,चूत के ढक्कन,ಶಿಖಂಡಿ,,,ꯃꯤꯊꯤꯕꯣꯅꯒ ꯃꯤꯇꯝꯕꯥꯜ,चाटू,कुर्कुरे चिलाउनु,,,,,بوکا چودا
coprolagnia,,ক্যালানেচোদা,,,चूत मरी के,ಚಕ್ಕಾ,,,ꯃꯤꯊꯨ,झाटू,लाडो चुस्,,,,,بکر چود
coprophilia,,,,,चूत मारनी का,ಹಿಜ್ಡಾ,,,ꯃꯨꯊꯤ,झमन,लाडोको भुत्ला,,,,,مرغی چود
cornhole,,,,,चूत के पसीने में तले हुए भजिये,ಕತ್ತೆಮುಂಡೆ,,,ꯅꯃꯥꯢꯃꯀꯣꯛ,चमन,लाडो,,,,,جھنٹ کباڑو
coon,,,,,चुप के चूत है,ನಾಸ್ರಂಡೆ,,,ꯅꯃꯥꯢꯃꯠ,भाड्या,लाडो चुस्ने,,,,,بڑ پھٹّی
coons,,,,,फटे कंडोम के नतीजे,ಮೂದೇವಿ,,,ꯅꯃꯥꯢꯃꯊꯨ,भाड्खाऊ,लाँडोको भुत्ला,,,,,کنواری چوت
creampie,,,,,फटे हुए लन्डटोपी का रिजल्ट,ಮನೆಹಾಳ,,,ꯅꯥꯃꯥꯃꯠ,पादरट,लाद्रो पल्टाइस्,,,,,لاںڑ
cum,,,,,गांडू,ಮನೆಹಾಳಿ,,,ꯅꯃꯥꯃꯠ,सुकाळीच्या,लाम्टो/लाम्टा,,,,,گانڑ مارُو
cumming,,হারামি,,,गांडफत,ಹೀನಸುಳಿ,,,ꯅꯅꯨꯗꯣ,बेवड्या,लट्ठक,,,,,پگل چود
cumshot,,,,,गांडमस्ती,ಹೊಲೇರಮುಂಡೆ,,,ꯅꯄꯥ ꯊꯣꯔꯥꯢꯃꯆꯥ,भूसनळीच्या,लौमुते,,,,,بکر پیلی
cumshots,,,,,गांड का माखन,ಹೊಲೆಯ,,,ꯅꯄꯥ ꯌꯥꯅꯤ ꯃꯆꯥ,भैताड,लोदरे,,,,,بکچودی
